[0, 1, 2, 3, 4, 5] : 5 : 2
[1, 2, 4, 5, 3, 0] : 11 : 2
[1, 2, 5, 0, 3, 4] : 10 : 2
[1, 2, 5, 0, 4, 3] : 11 : 2
[1, 2, 5, 3, 0, 4] : 10 : 2
[1, 2, 5, 3, 4, 0] : 11 : 2
[1, 2, 5, 4, 0, 3] : 11 : 2
[1, 2, 5, 4, 3, 0] : 11 : 2
[1, 3, 0, 2, 4, 5] : 10 : 2
[1, 3, 0, 2, 5, 4] : 11 : 2
[1, 3, 0, 4, 2, 5] : 10 : 2
[1, 3, 0, 4, 5, 2] : 11 : 2
[1, 3, 0, 5, 2, 4] : 11 : 2
[1, 3, 0, 5, 4, 2] : 11 : 2
[1, 3, 2, 0, 4, 5] : 10 : 2
[1, 3, 2, 0, 5, 4] : 11 : 2
[1, 3, 2, 4, 0, 5] : 10 : 2
[1, 3, 2, 4, 5, 0] : 11 : 2
[1, 3, 2, 5, 0, 4] : 11 : 2
[1, 3, 2, 5, 4, 0] : 11 : 2
[1, 3, 4, 0, 2, 5] : 10 : 2
[1, 3, 4, 0, 5, 2] : 11 : 2
[1, 3, 4, 2, 0, 5] : 10 : 2
[1, 3, 4, 2, 5, 0] : 11 : 2
[1, 3, 4, 5, 0, 2] : 11 : 2
[1, 3, 4, 5, 2, 0] : 11 : 2
[1, 3, 5, 0, 2, 4] : 10 : 2
[1, 3, 5, 0, 4, 2] : 11 : 2
[1, 3, 5, 2, 0, 4] : 10 : 2
[1, 3, 5, 2, 4, 0] : 11 : 2
[1, 3, 5, 4, 0, 2] : 11 : 2
[1, 3, 5, 4, 2, 0] : 11 : 2
[1, 4, 0, 2, 3, 5] : 11 : 2
[1, 4, 0, 2, 5, 3] : 12 : 2
[1, 4, 0, 3, 2, 5] : 11 : 2
[1, 4, 0, 3, 5, 2] : 12 : 2
[1, 4, 0, 5, 2, 3] : 12 : 2
[1, 4, 0, 5, 3, 2] : 12 : 2
[1, 4, 2, 0, 3, 5] : 11 : 2
[1, 4, 2, 0, 5, 3] : 12 : 2
[1, 4, 2, 3, 0, 5] : 11 : 2
[1, 4, 2, 3, 5, 0] : 12 : 2
[1, 4, 2, 5, 0, 3] : 12 : 2
[1, 4, 2, 5, 3, 0] : 12 : 2
[1, 4, 3, 0, 2, 5] : 11 : 2
[1, 4, 3, 0, 5, 2] : 12 : 2
[1, 4, 3, 2, 0, 5] : 11 : 2
[1, 4, 3, 2, 5, 0] : 12 : 2
[1, 4, 3, 5, 0, 2] : 12 : 2
[1, 4, 3, 5, 2, 0] : 12 : 2
[1, 4, 5, 0, 2, 3] : 9 : 2
[1, 4, 5, 0, 3, 2] : 10 : 2
[1, 4, 5, 2, 0, 3] : 9 : 2
[1, 4, 5, 2, 3, 0] : 10 : 2
[1, 4, 5, 3, 0, 2] : 10 : 2
[1, 4, 5, 3, 2, 0] : 10 : 2
[1, 5, 0, 2, 3, 4] : 11 : 2
[1, 5, 0, 2, 4, 3] : 12 : 2
[1, 5, 0, 3, 2, 4] : 11 : 2
[1, 5, 0, 3, 4, 2] : 12 : 2
[1, 5, 0, 4, 2, 3] : 12 : 2
[1, 5, 0, 4, 3, 2] : 12 : 2
[1, 5, 2, 0, 3, 4] : 11 : 2
[1, 5, 2, 0, 4, 3] : 12 : 2
[1, 5, 2, 3, 0, 4] : 11 : 2
[1, 5, 2, 3, 4, 0] : 12 : 2
[1, 5, 2, 4, 0, 3] : 12 : 2
[1, 5, 2, 4, 3, 0] : 12 : 2
[1, 5, 3, 0, 2, 4] : 11 : 2
[1, 5, 3, 0, 4, 2] : 12 : 2
[1, 5, 3, 2, 0, 4] : 11 : 2
[1, 5, 3, 2, 4, 0] : 12 : 2
[1, 5, 3, 4, 0, 2] : 12 : 2
[1, 5, 3, 4, 2, 0] : 12 : 2
[1, 5, 4, 0, 2, 3] : 10 : 2
[1, 5, 4, 0, 3, 2] : 11 : 2
[1, 5, 4, 2, 0, 3] : 10 : 2
[1, 5, 4, 2, 3, 0] : 11 : 2
[1, 5, 4, 3, 0, 2] : 11 : 2
[1, 5, 4, 3, 2, 0] : 11 : 2
[2, 0, 1, 3, 4, 5] : 6 : 2
[2, 0, 1, 3, 5, 4] : 7 : 2
[2, 0, 1, 4, 3, 5] : 6 : 2
[2, 0, 1, 4, 5, 3] : 7 : 2
[2, 0, 1, 5, 3, 4] : 7 : 2
[2, 0, 1, 5, 4, 3] : 7 : 2
[2, 0, 3, 1, 4, 5] : 9 : 2
[2, 0, 3, 1, 5, 4] : 10 : 2
[2, 0, 3, 4, 1, 5] : 9 : 2
[2, 0, 3, 4, 5, 1] : 10 : 2
[2, 0, 3, 5, 1, 4] : 10 : 2
[2, 0, 3, 5, 4, 1] : 10 : 2
[2, 0, 4, 1, 3, 5] : 10 : 2
[2, 0, 4, 1, 5, 3] : 11 : 2
[2, 0, 4, 3, 1, 5] : 10 : 2
[2, 0, 4, 3, 5, 1] : 11 : 2
[2, 0, 4, 5, 1, 3] : 11 : 2
[2, 0, 4, 5, 3, 1] : 11 : 2
[2, 0, 5, 1, 3, 4] : 10 : 2
[2, 0, 5, 1, 4, 3] : 11 : 2
[2, 0, 5, 3, 1, 4] : 10 : 2
[2, 0, 5, 3, 4, 1] : 11 : 2
[2, 0, 5, 4, 1, 3] : 11 : 2
[2, 0, 5, 4, 3, 1] : 11 : 2
[2, 1, 0, 3, 4, 5] : 6 : 2
[2, 1, 0, 3, 5, 4] : 7 : 2
[2, 1, 0, 4, 3, 5] : 6 : 2
[2, 1, 0, 4, 5, 3] : 7 : 2
[2, 1, 0, 5, 3, 4] : 7 : 2
[2, 1, 0, 5, 4, 3] : 7 : 2
[2, 1, 3, 0, 4, 5] : 9 : 2
[2, 1, 3, 0, 5, 4] : 10 : 2
[2, 1, 3, 4, 0, 5] : 9 : 2
[2, 1, 3, 4, 5, 0] : 10 : 2
[2, 1, 3, 5, 0, 4] : 10 : 2
[2, 1, 3, 5, 4, 0] : 10 : 2
[2, 1, 4, 0, 3, 5] : 10 : 2
[2, 1, 4, 0, 5, 3] : 11 : 2
[2, 1, 4, 3, 0, 5] : 10 : 2
[2, 1, 4, 3, 5, 0] : 11 : 2
[2, 1, 4, 5, 0, 3] : 11 : 2
[2, 1, 4, 5, 3, 0] : 11 : 2
[2, 1, 5, 0, 3, 4] : 10 : 2
[2, 1, 5, 0, 4, 3] : 11 : 2
[2, 1, 5, 3, 0, 4] : 10 : 2
[2, 1, 5, 3, 4, 0] : 11 : 2
[2, 1, 5, 4, 0, 3] : 11 : 2
[2, 1, 5, 4, 3, 0] : 11 : 2
[2, 3, 0, 1, 4, 5] : 10 : 2
[2, 3, 0, 1, 5, 4] : 11 : 2
[2, 3, 0, 4, 1, 5] : 10 : 2
[2, 3, 0, 4, 5, 1] : 11 : 2
[2, 3, 0, 5, 1, 4] : 11 : 2
[2, 3, 0, 5, 4, 1] : 11 : 2
[2, 3, 1, 0, 4, 5] : 10 : 2
[2, 3, 1, 0, 5, 4] : 11 : 2
[2, 3, 1, 4, 0, 5] : 10 : 2
[2, 3, 1, 4, 5, 0] : 11 : 2
[2, 3, 1, 5, 0, 4] : 11 : 2
[2, 3, 1, 5, 4, 0] : 11 : 2
[2, 3, 4, 0, 1, 5] : 10 : 2
[2, 3, 4, 0, 5, 1] : 11 : 2
[2, 3, 4, 1, 0, 5] : 10 : 2
[2, 3, 4, 1, 5, 0] : 11 : 2
[2, 3, 4, 5, 0, 1] : 11 : 2
[2, 3, 4, 5, 1, 0] : 11 : 2
[2, 3, 5, 0, 1, 4] : 10 : 2
[2, 3, 5, 0, 4, 1] : 11 : 2
[2, 3, 5, 1, 0, 4] : 10 : 2
[2, 3, 5, 1, 4, 0] : 11 : 2
[2, 3, 5, 4, 0, 1] : 11 : 2
[2, 3, 5, 4, 1, 0] : 11 : 2
[2, 4, 0, 1, 3, 5] : 11 : 2
[2, 4, 0, 1, 5, 3] : 12 : 2
[2, 4, 0, 3, 1, 5] : 11 : 2
[2, 4, 0, 3, 5, 1] : 12 : 2
[2, 4, 0, 5, 1, 3] : 12 : 2
[2, 4, 0, 5, 3, 1] : 12 : 2
[2, 4, 1, 0, 3, 5] : 11 : 2
[2, 4, 1, 0, 5, 3] : 12 : 2
[2, 4, 1, 3, 0, 5] : 11 : 2
[2, 4, 1, 3, 5, 0] : 12 : 2
[2, 4, 1, 5, 0, 3] : 12 : 2
[2, 4, 1, 5, 3, 0] : 12 : 2
[2, 4, 3, 0, 1, 5] : 11 : 2
[2, 4, 3, 0, 5, 1] : 12 : 2
[2, 4, 3, 1, 0, 5] : 11 : 2
[2, 4, 3, 1, 5, 0] : 12 : 2
[2, 4, 3, 5, 0, 1] : 12 : 2
[2, 4, 3, 5, 1, 0] : 12 : 2
[2, 4, 5, 0, 1, 3] : 9 : 2
[2, 4, 5, 0, 3, 1] : 10 : 2
[2, 4, 5, 1, 0, 3] : 9 : 2
[2, 4, 5, 1, 3, 0] : 10 : 2
[2, 4, 5, 3, 0, 1] : 10 : 2
[2, 4, 5, 3, 1, 0] : 10 : 2
[2, 5, 0, 1, 3, 4] : 11 : 2
[2, 5, 0, 1, 4, 3] : 12 : 2
[2, 5, 0, 3, 1, 4] : 11 : 2
[2, 5, 0, 3, 4, 1] : 12 : 2
[2, 5, 0, 4, 1, 3] : 12 : 2
[2, 5, 0, 4, 3, 1] : 12 : 2
[2, 5, 1, 0, 3, 4] : 11 : 2
[2, 5, 1, 0, 4, 3] : 12 : 2
[2, 5, 1, 3, 0, 4] : 11 : 2
[2, 5, 1, 3, 4, 0] : 12 : 2
[2, 5, 1, 4, 0, 3] : 12 : 2
[2, 5, 1, 4, 3, 0] : 12 : 2
[2, 5, 3, 0, 1, 4] : 11 : 2
[2, 5, 3, 0, 4, 1] : 12 : 2
[2, 5, 3, 1, 0, 4] : 11 : 2
[2, 5, 3, 1, 4, 0] : 12 : 2
[2, 5, 3, 4, 0, 1] : 12 : 2
[2, 5, 3, 4, 1, 0] : 12 : 2
[2, 5, 4, 0, 1, 3] : 10 : 2
[2, 5, 4, 0, 3, 1] : 11 : 2
[2, 5, 4, 1, 0, 3] : 10 : 2
[2, 5, 4, 1, 3, 0] : 11 : 2
[2, 5, 4, 3, 0, 1] : 11 : 2
[2, 5, 4, 3, 1, 0] : 11 : 2
[3, 0, 1, 2, 4, 5] : 10 : 2
[3, 0, 1, 2, 5, 4] : 11 : 2
[3, 0, 1, 4, 2, 5] : 10 : 2
[3, 0, 1, 4, 5, 2] : 11 : 2
[3, 0, 1, 5, 2, 4] : 11 : 2
[3, 0, 1, 5, 4, 2] : 11 : 2
[3, 0, 2, 1, 4, 5] : 10 : 2
[3, 0, 2, 1, 5, 4] : 11 : 2
[3, 0, 2, 4, 1, 5] : 10 : 2
[3, 0, 2, 4, 5, 1] : 11 : 2
[3, 0, 2, 5, 1, 4] : 11 : 2
[3, 0, 2, 5, 4, 1] : 11 : 2
[3, 0, 4, 1, 2, 5] : 10 : 2
[3, 0, 4, 1, 5, 2] : 11 : 2
[3, 0, 4, 2, 1, 5] : 10 : 2
[3, 0, 4, 2, 5, 1] : 11 : 2
[3, 0, 4, 5, 1, 2] : 11 : 2
[3, 0, 4, 5, 2, 1] : 11 : 2
[3, 0, 5, 1, 2, 4] : 10 : 2
[3, 0, 5, 1, 4, 2] : 11 : 2
[3, 0, 5, 2, 1, 4] : 10 : 2
[3, 0, 5, 2, 4, 1] : 11 : 2
[3, 0, 5, 4, 1, 2] : 11 : 2
[3, 0, 5, 4, 2, 1] : 11 : 2
[3, 1, 0, 2, 4, 5] : 10 : 2
[3, 1, 0, 2, 5, 4] : 11 : 2
[3, 1, 0, 4, 2, 5] : 10 : 2
[3, 1, 0, 4, 5, 2] : 11 : 2
[3, 1, 0, 5, 2, 4] : 11 : 2
[3, 1, 0, 5, 4, 2] : 11 : 2
[3, 1, 2, 0, 4, 5] : 10 : 2
[3, 1, 2, 0, 5, 4] : 11 : 2
[3, 1, 2, 4, 0, 5] : 10 : 2
[3, 1, 2, 4, 5, 0] : 11 : 2
[3, 1, 2, 5, 0, 4] : 11 : 2
[3, 1, 2, 5, 4, 0] : 11 : 2
[3, 1, 4, 0, 2, 5] : 10 : 2
[3, 1, 4, 0, 5, 2] : 11 : 2
[3, 1, 4, 2, 0, 5] : 10 : 2
[3, 1, 4, 2, 5, 0] : 11 : 2
[3, 1, 4, 5, 0, 2] : 11 : 2
[3, 1, 4, 5, 2, 0] : 11 : 2
[3, 1, 5, 0, 2, 4] : 10 : 2
[3, 1, 5, 0, 4, 2] : 11 : 2
[3, 1, 5, 2, 0, 4] : 10 : 2
[3, 1, 5, 2, 4, 0] : 11 : 2
[3, 1, 5, 4, 0, 2] : 11 : 2
[3, 1, 5, 4, 2, 0] : 11 : 2
[3, 2, 0, 1, 4, 5] : 10 : 2
[3, 2, 0, 1, 5, 4] : 11 : 2
[3, 2, 0, 4, 1, 5] : 10 : 2
[3, 2, 0, 4, 5, 1] : 11 : 2
[3, 2, 0, 5, 1, 4] : 11 : 2
[3, 2, 0, 5, 4, 1] : 11 : 2
[3, 2, 1, 0, 4, 5] : 10 : 2
[3, 2, 1, 0, 5, 4] : 11 : 2
[3, 2, 1, 4, 0, 5] : 10 : 2
[3, 2, 1, 4, 5, 0] : 11 : 2
[3, 2, 1, 5, 0, 4] : 11 : 2
[3, 2, 1, 5, 4, 0] : 11 : 2
[3, 2, 4, 0, 1, 5] : 10 : 2
[3, 2, 4, 0, 5, 1] : 11 : 2
[3, 2, 4, 1, 0, 5] : 10 : 2
[3, 2, 4, 1, 5, 0] : 11 : 2
[3, 2, 4, 5, 0, 1] : 11 : 2
[3, 2, 4, 5, 1, 0] : 11 : 2
[3, 2, 5, 0, 1, 4] : 10 : 2
[3, 2, 5, 0, 4, 1] : 11 : 2
[3, 2, 5, 1, 0, 4] : 10 : 2
[3, 2, 5, 1, 4, 0] : 11 : 2
[3, 2, 5, 4, 0, 1] : 11 : 2
[3, 2, 5, 4, 1, 0] : 11 : 2
[3, 4, 0, 1, 2, 5] : 11 : 2
[3, 4, 0, 1, 5, 2] : 12 : 2
[3, 4, 0, 2, 1, 5] : 11 : 2
[3, 4, 0, 2, 5, 1] : 12 : 2
[3, 4, 0, 5, 1, 2] : 12 : 2
[3, 4, 0, 5, 2, 1] : 12 : 2
[3, 4, 1, 0, 2, 5] : 11 : 2
[3, 4, 1, 0, 5, 2] : 12 : 2
[3, 4, 1, 2, 0, 5] : 11 : 2
[3, 4, 1, 2, 5, 0] : 12 : 2
[3, 4, 1, 5, 0, 2] : 12 : 2
[3, 4, 1, 5, 2, 0] : 12 : 2
[3, 4, 2, 0, 1, 5] : 11 : 2
[3, 4, 2, 0, 5, 1] : 12 : 2
[3, 4, 2, 1, 0, 5] : 11 : 2
[3, 4, 2, 1, 5, 0] : 12 : 2
[3, 4, 2, 5, 0, 1] : 12 : 2
[3, 4, 2, 5, 1, 0] : 12 : 2
[3, 4, 5, 0, 1, 2] : 8 : 2
[3, 4, 5, 0, 2, 1] : 9 : 2
[3, 4, 5, 1, 0, 2] : 8 : 2
[3, 4, 5, 1, 2, 0] : 9 : 2
[3, 4, 5, 2, 0, 1] : 9 : 2
[3, 4, 5, 2, 1, 0] : 9 : 2
[3, 5, 0, 1, 2, 4] : 11 : 2
[3, 5, 0, 1, 4, 2] : 12 : 2
[3, 5, 0, 2, 1, 4] : 11 : 2
[3, 5, 0, 2, 4, 1] : 12 : 2
[3, 5, 0, 4, 1, 2] : 12 : 2
[3, 5, 0, 4, 2, 1] : 12 : 2
[3, 5, 1, 0, 2, 4] : 11 : 2
[3, 5, 1, 0, 4, 2] : 12 : 2
[3, 5, 1, 2, 0, 4] : 11 : 2
[3, 5, 1, 2, 4, 0] : 12 : 2
[3, 5, 1, 4, 0, 2] : 12 : 2
[3, 5, 1, 4, 2, 0] : 12 : 2
[3, 5, 2, 0, 1, 4] : 11 : 2
[3, 5, 2, 0, 4, 1] : 12 : 2
[3, 5, 2, 1, 0, 4] : 11 : 2
[3, 5, 2, 1, 4, 0] : 12 : 2
[3, 5, 2, 4, 0, 1] : 12 : 2
[3, 5, 2, 4, 1, 0] : 12 : 2
[3, 5, 4, 0, 1, 2] : 9 : 2
[3, 5, 4, 0, 2, 1] : 10 : 2
[3, 5, 4, 1, 0, 2] : 9 : 2
[3, 5, 4, 1, 2, 0] : 10 : 2
[3, 5, 4, 2, 0, 1] : 10 : 2
[3, 5, 4, 2, 1, 0] : 10 : 2
[4, 0, 1, 2, 3, 5] : 11 : 2
[4, 0, 1, 2, 5, 3] : 12 : 2
[4, 0, 1, 3, 2, 5] : 11 : 2
[4, 0, 1, 3, 5, 2] : 12 : 2
[4, 0, 1, 5, 2, 3] : 12 : 2
[4, 0, 1, 5, 3, 2] : 12 : 2
[4, 0, 2, 1, 3, 5] : 11 : 2
[4, 0, 2, 1, 5, 3] : 12 : 2
[4, 0, 2, 3, 1, 5] : 11 : 2
[4, 0, 2, 3, 5, 1] : 12 : 2
[4, 0, 2, 5, 1, 3] : 12 : 2
[4, 0, 2, 5, 3, 1] : 12 : 2
[4, 0, 3, 1, 2, 5] : 11 : 2
[4, 0, 3, 1, 5, 2] : 12 : 2
[4, 0, 3, 2, 1, 5] : 11 : 2
[4, 0, 3, 2, 5, 1] : 12 : 2
[4, 0, 3, 5, 1, 2] : 12 : 2
[4, 0, 3, 5, 2, 1] : 12 : 2
[4, 0, 5, 1, 2, 3] : 9 : 2
[4, 0, 5, 1, 3, 2] : 10 : 2
[4, 0, 5, 2, 1, 3] : 9 : 2
[4, 0, 5, 2, 3, 1] : 10 : 2
[4, 0, 5, 3, 1, 2] : 10 : 2
[4, 0, 5, 3, 2, 1] : 10 : 2
[4, 1, 0, 2, 3, 5] : 11 : 2
[4, 1, 0, 2, 5, 3] : 12 : 2
[4, 1, 0, 3, 2, 5] : 11 : 2
[4, 1, 0, 3, 5, 2] : 12 : 2
[4, 1, 0, 5, 2, 3] : 12 : 2
[4, 1, 0, 5, 3, 2] : 12 : 2
[4, 1, 2, 0, 3, 5] : 11 : 2
[4, 1, 2, 0, 5, 3] : 12 : 2
[4, 1, 2, 3, 0, 5] : 11 : 2
[4, 1, 2, 3, 5, 0] : 12 : 2
[4, 1, 2, 5, 0, 3] : 12 : 2
[4, 1, 2, 5, 3, 0] : 12 : 2
[4, 1, 3, 0, 2, 5] : 11 : 2
[4, 1, 3, 0, 5, 2] : 12 : 2
[4, 1, 3, 2, 0, 5] : 11 : 2
[4, 1, 3, 2, 5, 0] : 12 : 2
[4, 1, 3, 5, 0, 2] : 12 : 2
[4, 1, 3, 5, 2, 0] : 12 : 2
[4, 1, 5, 0, 2, 3] : 9 : 2
[4, 1, 5, 0, 3, 2] : 10 : 2
[4, 1, 5, 2, 0, 3] : 9 : 2
[4, 1, 5, 2, 3, 0] : 10 : 2
[4, 1, 5, 3, 0, 2] : 10 : 2
[4, 1, 5, 3, 2, 0] : 10 : 2
[4, 2, 0, 1, 3, 5] : 11 : 2
[4, 2, 0, 1, 5, 3] : 12 : 2
[4, 2, 0, 3, 1, 5] : 11 : 2
[4, 2, 0, 3, 5, 1] : 12 : 2
[4, 2, 0, 5, 1, 3] : 12 : 2
[4, 2, 0, 5, 3, 1] : 12 : 2
[4, 2, 1, 0, 3, 5] : 11 : 2
[4, 2, 1, 0, 5, 3] : 12 : 2
[4, 2, 1, 3, 0, 5] : 11 : 2
